,0,1
165,0.29009548,-0.01381658
166,0.30666646,-0.013369933
167,0.3227697,-0.012635738
168,0.33810386,-0.011949167
169,0.35244817,-0.011153087
170,0.36559176,-0.01037249
171,0.37750512,-0.009523511
172,0.38801652,-0.008785203
173,0.39721313,-0.0080782175
174,0.40499705,-0.007503316
175,0.4111822,-0.007222563
176,0.4157479,-0.0070387125
177,0.4187259,-0.007017985
178,0.4200834,-0.0071948767
179,0.41992265,-0.007638097
180,0.41838396,-0.00825803
181,0.41554135,-0.009029612
182,0.4114707,-0.009818703
183,0.4061092,-0.010709941
184,0.39991683,-0.011745557
185,0.39315218,-0.012737155
186,0.38570586,-0.013814136
187,0.37768418,-0.014721051
188,0.36969388,-0.015719146
189,0.36134243,-0.016434208
190,0.35315084,-0.017241418
191,0.34486985,-0.01780884
192,0.33684114,-0.018345594
193,0.3292636,-0.018676728
194,0.32211772,-0.01898852
195,0.3154211,-0.01919964
196,0.30910054,-0.01935555
197,0.30325302,-0.019478306
198,0.2979395,-0.019646794
199,0.29275212,-0.019659117
200,0.28785604,-0.019777372
201,0.28305465,-0.019837916
202,0.27834558,-0.019897684
203,0.27364844,-0.019981816
204,0.26864576,-0.020166114
205,0.26333523,-0.020286351
206,0.25765818,-0.020338804
207,0.2514862,-0.020648554
208,0.24456707,-0.020781785
209,0.23726721,-0.02077359
210,0.22904502,-0.020915806
211,0.2202094,-0.021016762
212,0.21067227,-0.021014467
213,0.20057736,-0.020924523
214,0.18953164,-0.020784304
215,0.17748483,-0.020209104
216,0.16470768,-0.019462332
217,0.15153599,-0.018496871
218,0.13792072,-0.017502278
219,0.12414959,-0.016315073
220,0.110136166,-0.015097022
221,0.09682158,-0.01362206
222,0.08421771,-0.012107149
223,0.07336564,-0.0103928745
224,0.06554201,-0.008750588
225,0.06204267,-0.00717853
226,0.06368083,-0.0059317052
227,0.07035571,-0.0056156963
228,0.08042824,-0.0060068965
229,0.092880294,-0.006976381
230,0.10642548,-0.008050844
231,0.12050174,-0.00933218
232,0.1347674,-0.010535672
233,0.14894834,-0.011810958
234,0.16289698,-0.013017997
235,0.17621602,-0.014196143
236,0.18891917,-0.014997736
237,0.20055322,-0.015485525
238,0.2116847,-0.015976772
239,0.221931,-0.016397417
240,0.23135494,-0.016766071
241,0.2400436,-0.016994268
242,0.24777615,-0.017284185
243,0.25438845,-0.017465323
244,0.26005656,-0.017610505
245,0.2645891,-0.017892465
246,0.26824838,-0.018076703
247,0.27073833,-0.018271446
248,0.27203184,-0.018531173
249,0.27219748,-0.018832266
250,0.27132416,-0.019100666
251,0.26907074,-0.019382238
252,0.2658298,-0.019709036
253,0.26132482,-0.020078167
254,0.25581282,-0.020338282
255,0.24940564,-0.02059108
256,0.24189435,-0.020786047
257,0.23361635,-0.02106814
258,0.22449648,-0.021102294
259,0.21478932,-0.02113165
260,0.2047038,-0.021075666
261,0.19434841,-0.020819724
262,0.18348467,-0.020348102
263,0.17281759,-0.019471005
264,0.16292407,-0.018565476
265,0.15405805,-0.01766321
266,0.14682727,-0.01669091
267,0.1416789,-0.015712962
268,0.13911575,-0.014830917
269,0.13943766,-0.014154464
270,0.14232463,-0.013689578
271,0.14798453,-0.013558924
272,0.15593344,-0.013719708
273,0.16536532,-0.014174238
274,0.17612432,-0.014711112
275,0.18734877,-0.015289679
276,0.19857065,-0.015609086
277,0.20986746,-0.015958712
278,0.2209511,-0.0160743
279,0.23144744,-0.016438946
280,0.24136414,-0.016606942
281,0.25041708,-0.016765326
282,0.2584706,-0.017033637
283,0.2657137,-0.017074913
284,0.27154285,-0.017298654
285,0.27646157,-0.017375723
286,0.28026432,-0.017466754
287,0.28277162,-0.017731547
288,0.28444892,-0.017833546
289,0.285044,-0.017986715
290,0.28453076,-0.018248066
291,0.2833788,-0.018347412
292,0.28159624,-0.018500224
293,0.2795296,-0.018560335
294,0.2772759,-0.01863426
295,0.27472427,-0.018536448
296,0.27263045,-0.018651038
297,0.27094686,-0.018448308
298,0.27015078,-0.018261924
299,0.26996624,-0.017925903
300,0.27098474,-0.017712742
301,0.27280182,-0.017490864
302,0.27581006,-0.017142192
303,0.27981055,-0.016785309
304,0.2848323,-0.016453102
305,0.29037324,-0.01622589
306,0.29643863,-0.01578249
307,0.30277812,-0.015584141
308,0.30917856,-0.015297964
309,0.31517348,-0.015166432
310,0.32064968,-0.015051156
311,0.32526445,-0.014965773
312,0.32893077,-0.015029237
313,0.331018,-0.015172973
314,0.3318455,-0.015582353
315,0.33123192,-0.016003668
316,0.32873565,-0.016683295
317,0.32408252,-0.017360076
318,0.31757814,-0.018274084
319,0.308905,-0.019153789
320,0.29809886,-0.020252898
321,0.2851749,-0.021138147
322,0.2700528,-0.022025064
323,0.25312075,-0.022820473
324,0.23397861,-0.02340059
325,0.21300474,-0.023571491
326,0.19037853,-0.023492426
327,0.16515149,-0.02242525
328,0.13853258,-0.020645738
329,0.11095981,-0.018491104
330,0.08314861,-0.01581049
331,0.057806224,-0.012406692
332,0.043040514,-0.0063041747
333,0.05123028,-0.0006865859
334,0.0759069,-0.0015179217
335,0.10580625,-0.004026249
336,0.13718969,-0.006819129
337,0.16856545,-0.009323686
338,0.19848917,-0.011024833
339,0.22712423,-0.011877358
340,0.25499025,-0.012279764
341,0.28120205,-0.012297675
342,0.3061694,-0.011788845
343,0.32905513,-0.011194542
344,0.34996876,-0.010175467
345,0.36875933,-0.009122595
346,0.38471878,-0.008063883
347,0.3981191,-0.007139802
348,0.40865007,-0.006507933
349,0.41610777,-0.0061644614
350,0.42021573,-0.0062446445
351,0.42101318,-0.006897554
352,0.41815764,-0.008017629
353,0.41186005,-0.009613901
354,0.40198457,-0.011631891
355,0.3888841,-0.013817474
356,0.3724032,-0.016358733
357,0.35290173,-0.01891534
358,0.33014697,-0.021267936
359,0.30467716,-0.023273036
360,0.2761749,-0.024984688
361,0.24539693,-0.025977746
362,0.21229993,-0.026387557
363,0.17636473,-0.025592849
364,0.13775063,-0.02326335
365,0.09689747,-0.020130128
366,0.053851753,-0.016066357
367,0.0071784407,-0.009593442
368,0.036756173,0.0022304058
369,0.08345267,-0.00080011785
